#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 320 200
# Band-Index    1
   0.83055    -17.252646    -17.252646
   0.82357    -17.249508    -17.249508
   0.81660    -17.246382    -17.246383
   0.80962    -17.243271    -17.243271
   0.80264    -17.240166    -17.240167
   0.79567    -17.237079    -17.237079
   0.78869    -17.233999    -17.233999
   0.78171    -17.230924    -17.230925
   0.77474    -17.227877    -17.227878
   0.76776    -17.224859    -17.224860
   0.76078    -17.221845    -17.221845
   0.75381    -17.218853    -17.218854
   0.74683    -17.215882    -17.215883
   0.73985    -17.212935    -17.212935
   0.73288    -17.210018    -17.210019
   0.72590    -17.207120    -17.207120
   0.71892    -17.204241    -17.204241
   0.71195    -17.201383    -17.201383
   0.70497    -17.198556    -17.198556
   0.69799    -17.195761    -17.195761
   0.69102    -17.193003    -17.193003
   0.68404    -17.190265    -17.190265
   0.67706    -17.187564    -17.187565
   0.67009    -17.184907    -17.184907
   0.66311    -17.182283    -17.182283
   0.65613    -17.179688    -17.179688
   0.64915    -17.177122    -17.177122
   0.64218    -17.174587    -17.174587
   0.63520    -17.172103    -17.172103
   0.62822    -17.169655    -17.169655
   0.62125    -17.167245    -17.167245
   0.61427    -17.164874    -17.164874
   0.60729    -17.162554    -17.162555
   0.60032    -17.160267    -17.160268
   0.59334    -17.158020    -17.158021
   0.58636    -17.155824    -17.155824
   0.57939    -17.153673    -17.153674
   0.57241    -17.151566    -17.151566
   0.56543    -17.149510    -17.149510
   0.55846    -17.147496    -17.147496
   0.55148    -17.145530    -17.145530
   0.54450    -17.143613    -17.143613
   0.53753    -17.141747    -17.141747
   0.53055    -17.139928    -17.139928
   0.52357    -17.138160    -17.138160
   0.51660    -17.136448    -17.136448
   0.50962    -17.134791    -17.134791
   0.50264    -17.133179    -17.133179
   0.49567    -17.131621    -17.131621
   0.48869    -17.130119    -17.130119
   0.48171    -17.128678    -17.128678
   0.47474    -17.127282    -17.127282
   0.46776    -17.125941    -17.125941
   0.46078    -17.124666    -17.124666
   0.45381    -17.123449    -17.123449
   0.44683    -17.122281    -17.122281
   0.43985    -17.121173    -17.121173
   0.43288    -17.120120    -17.120120
   0.42590    -17.119125    -17.119125
   0.41892    -17.118192    -17.118192
   0.41195    -17.117316    -17.117317
   0.40497    -17.116494    -17.116495
   0.39799    -17.115735    -17.115735
   0.39102    -17.115030    -17.115030
   0.38404    -17.114387    -17.114388
   0.37706    -17.113799    -17.113799
   0.37009    -17.113280    -17.113280
   0.36311    -17.112829    -17.112830
   0.35613    -17.112427    -17.112428
   0.34916    -17.112091    -17.112091
   0.34218    -17.111818    -17.111818
   0.33520    -17.111605    -17.111605
   0.32823    -17.111449    -17.111449
   0.32125    -17.111359    -17.111359
   0.31427    -17.111323    -17.111324
   0.31427    -17.111323    -17.111324
   0.31029    -17.111350    -17.111350
   0.30632    -17.111409    -17.111410
   0.30234    -17.111481    -17.111482
   0.29836    -17.111583    -17.111583
   0.29438    -17.111692    -17.111692
   0.29040    -17.111832    -17.111833
   0.28643    -17.111990    -17.111990
   0.28245    -17.112169    -17.112170
   0.27847    -17.112371    -17.112371
   0.27449    -17.112595    -17.112596
   0.27051    -17.112851    -17.112851
   0.26653    -17.113121    -17.113121
   0.26256    -17.113413    -17.113413
   0.25858    -17.113739    -17.113739
   0.25460    -17.114079    -17.114079
   0.25062    -17.114442    -17.114442
   0.24664    -17.114828    -17.114829
   0.24267    -17.115239    -17.115240
   0.23869    -17.115666    -17.115666
   0.23471    -17.116125    -17.116126
   0.23073    -17.116608    -17.116608
   0.22675    -17.117117    -17.117117
   0.22278    -17.117650    -17.117651
   0.21880    -17.118212    -17.118212
   0.21482    -17.118798    -17.118798
   0.21084    -17.119407    -17.119408
   0.20686    -17.120040    -17.120040
   0.20288    -17.120692    -17.120692
   0.19891    -17.121378    -17.121379
   0.19493    -17.122091    -17.122091
   0.19095    -17.122830    -17.122830
   0.18697    -17.123595    -17.123595
   0.18299    -17.124386    -17.124387
   0.17902    -17.125204    -17.125205
   0.17504    -17.126042    -17.126042
   0.17106    -17.126918    -17.126918
   0.16708    -17.127814    -17.127814
   0.16310    -17.128745    -17.128746
   0.15913    -17.129698    -17.129698
   0.15515    -17.130673    -17.130673
   0.15117    -17.131680    -17.131681
   0.14719    -17.132706    -17.132706
   0.14321    -17.133778    -17.133779
   0.13923    -17.134869    -17.134869
   0.13526    -17.135987    -17.135987
   0.13128    -17.137132    -17.137133
   0.12730    -17.138300    -17.138301
   0.12332    -17.139496    -17.139496
   0.11934    -17.140726    -17.140726
   0.11537    -17.141984    -17.141984
   0.11139    -17.143270    -17.143270
   0.10741    -17.144585    -17.144585
   0.10343    -17.145927    -17.145928
   0.09945    -17.147307    -17.147307
   0.09548    -17.148707    -17.148707
   0.09150    -17.150135    -17.150135
   0.08752    -17.151591    -17.151591
   0.08354    -17.153073    -17.153073
   0.07956    -17.154580    -17.154580
   0.07558    -17.156122    -17.156122
   0.07161    -17.157689    -17.157689
   0.06763    -17.159287    -17.159288
   0.06365    -17.160915    -17.160915
   0.05967    -17.162571    -17.162571
   0.05569    -17.164251    -17.164251
   0.05172    -17.165962    -17.165963
   0.04774    -17.167704    -17.167704
   0.04376    -17.169472    -17.169472
   0.03978    -17.171269    -17.171270
   0.03580    -17.173088    -17.173089
   0.03183    -17.174947    -17.174948
   0.02785    -17.176831    -17.176831
   0.02387    -17.178731    -17.178731
   0.01989    -17.180671    -17.180671
   0.01591    -17.182655    -17.182655
   0.01193    -17.184652    -17.184652
   0.00796    -17.186672    -17.186672
   0.00398    -17.188731    -17.188731
   0.00000    -17.190807    -17.190807
 
# Band-Index    3
   0.00000    -10.347800    -10.347800
   0.00398    -10.347915    -10.347915
   0.00796    -10.348030    -10.348030
   0.01193    -10.348143    -10.348144
   0.01591    -10.348256    -10.348256
   0.01989    -10.348362    -10.348362
   0.02387    -10.348472    -10.348473
   0.02785    -10.348582    -10.348582
   0.03183    -10.348686    -10.348686
   0.03580    -10.348792    -10.348793
   0.03978    -10.348898    -10.348898
   0.04376    -10.349002    -10.349002
   0.04774    -10.349104    -10.349104
   0.05172    -10.349213    -10.349213
   0.05569    -10.349311    -10.349311
   0.05967    -10.349409    -10.349409
   0.06365    -10.349498    -10.349499
   0.06763    -10.349593    -10.349593
   0.07161    -10.349686    -10.349686
   0.07558    -10.349777    -10.349777
   0.07956    -10.349867    -10.349867
   0.08354    -10.349954    -10.349955
   0.08752    -10.350040    -10.350040
   0.09150    -10.350133    -10.350133
   0.09548    -10.350218    -10.350218
   0.09945    -10.350298    -10.350299
   0.10343    -10.350374    -10.350375
   0.10741    -10.350450    -10.350451
   0.11139    -10.350521    -10.350522
   0.11537    -10.350597    -10.350598
   0.11934    -10.350659    -10.350659
   0.12332    -10.350727    -10.350727
   0.12730    -10.350792    -10.350793
   0.13128    -10.350856    -10.350856
   0.13526    -10.350917    -10.350917
   0.13923    -10.350982    -10.350982
   0.14321    -10.351038    -10.351039
   0.14719    -10.351093    -10.351093
   0.15117    -10.351145    -10.351145
   0.15515    -10.351195    -10.351195
   0.15913    -10.351242    -10.351242
   0.16310    -10.351287    -10.351287
   0.16708    -10.351330    -10.351330
   0.17106    -10.351359    -10.351359
   0.17504    -10.351396    -10.351397
   0.17902    -10.351432    -10.351433
   0.18299    -10.351465    -10.351465
   0.18697    -10.351488    -10.351488
   0.19095    -10.351515    -10.351515
   0.19493    -10.351540    -10.351540
   0.19891    -10.351560    -10.351560
   0.20288    -10.351582    -10.351582
   0.20686    -10.351600    -10.351600
   0.21084    -10.351609    -10.351609
   0.21482    -10.351622    -10.351622
   0.21880    -10.351635    -10.351635
   0.22278    -10.351643    -10.351644
   0.22675    -10.351649    -10.351649
   0.23073    -10.351642    -10.351643
   0.23471    -10.351643    -10.351643
   0.23869    -10.351641    -10.351641
   0.24267    -10.351636    -10.351636
   0.24664    -10.351619    -10.351619
   0.25062    -10.351609    -10.351610
   0.25460    -10.351608    -10.351608
   0.25858    -10.351593    -10.351594
   0.26256    -10.351576    -10.351576
   0.26653    -10.351561    -10.351562
   0.27051    -10.351540    -10.351540
   0.27449    -10.351510    -10.351510
   0.27847    -10.351482    -10.351483
   0.28245    -10.351453    -10.351454
   0.28643    -10.351422    -10.351422
   0.29040    -10.351377    -10.351377
   0.29438    -10.351328    -10.351328
   0.29836    -10.351289    -10.351290
   0.30234    -10.351249    -10.351249
   0.30632    -10.351205    -10.351206
   0.31029    -10.351160    -10.351160
   0.31427    -10.351112    -10.351113
   0.31427    -10.351112    -10.351113
   0.32125    -10.351115    -10.351115
   0.32823    -10.351129    -10.351129
   0.33520    -10.351147    -10.351148
   0.34218    -10.351170    -10.351170
   0.34916    -10.351197    -10.351197
   0.35613    -10.351231    -10.351232
   0.36311    -10.351275    -10.351275
   0.37009    -10.351318    -10.351318
   0.37706    -10.351364    -10.351364
   0.38404    -10.351418    -10.351418
   0.39102    -10.351475    -10.351475
   0.39799    -10.351537    -10.351538
   0.40497    -10.351604    -10.351604
   0.41195    -10.351676    -10.351676
   0.41892    -10.351758    -10.351758
   0.42590    -10.351837    -10.351837
   0.43288    -10.351925    -10.351925
   0.43985    -10.352016    -10.352017
   0.44683    -10.352118    -10.352118
