#K-Path(1/A)         Spin-Up(eV)   Spin-Down(eV)
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.70102    -15.931020    -15.933554
   0.69446    -15.968508    -15.971021
   0.68790    -16.005819    -16.008316
   0.68134    -16.042953    -16.045435
   0.67478    -16.079906    -16.082377
   0.66822    -16.116677    -16.119137
   0.66166    -16.153262    -16.155714
   0.65510    -16.189658    -16.192103
   0.64854    -16.225869    -16.228307
   0.64198    -16.261885    -16.264318
   0.63542    -16.297701    -16.300128
   0.62886    -16.333339    -16.335762
   0.62230    -16.368783    -16.371202
   0.61574    -16.404032    -16.406448
   0.60918    -16.439086    -16.441498
   0.60262    -16.473940    -16.476350
   0.59606    -16.508596    -16.511004
   0.58950    -16.543055    -16.545460
   0.58294    -16.577313    -16.579716
   0.57638    -16.611367    -16.613767
   0.56982    -16.645220    -16.647617
   0.56326    -16.678855    -16.681246
   0.55670    -16.711140    -16.713298
   0.55670    -16.711140    -16.713298
   0.54534    -16.710799    -16.712957
   0.53398    -16.709779    -16.711937
   0.52262    -16.708080    -16.710239
   0.51126    -16.705699    -16.707859
   0.49989    -16.702636    -16.704797
   0.48853    -16.698897    -16.701059
   0.47717    -16.694473    -16.696637
   0.46581    -16.689377    -16.691542
   0.45445    -16.683598    -16.685765
   0.44309    -16.677141    -16.679309
   0.43173    -16.670001    -16.672170
   0.42037    -16.662186    -16.664357
   0.40900    -16.653698    -16.655870
   0.39764    -16.644527    -16.646701
   0.38628    -16.634682    -16.636857
   0.37492    -16.624159    -16.626335
   0.36356    -16.612963    -16.615141
   0.35220    -16.601091    -16.603270
   0.34084    -16.588545    -16.590725
   0.32948    -16.575325    -16.577506
   0.31811    -16.561430    -16.563611
   0.30675    -16.546863    -16.549045
   0.29539    -16.531630    -16.533812
   0.28403    -16.515720    -16.517903
   0.27267    -16.499143    -16.501326
   0.26131    -16.481896    -16.484079
   0.24995    -16.463984    -16.466166
   0.23859    -16.445401    -16.447582
   0.22722    -16.426149    -16.428329
   0.21586    -16.406232    -16.408411
   0.20450    -16.385650    -16.387828
   0.19314    -16.364403    -16.366580
   0.18178    -16.342491    -16.344667
   0.17042    -16.319917    -16.322092
   0.15906    -16.296686    -16.298858
   0.14770    -16.272790    -16.274961
   0.13633    -16.248233    -16.250402
   0.12497    -16.223017    -16.225185
   0.11361    -16.197145    -16.199311
   0.10225    -16.170622    -16.172787
   0.09089    -16.143438    -16.145603
   0.07953    -16.115599    -16.117766
   0.06817    -16.087110    -16.089283
   0.05681    -16.057976    -16.060165
   0.04544    -16.028193    -16.030442
   0.03408    -15.997776    -16.001457
   0.02272    -15.966773    -15.972280
   0.01136    -15.937105    -15.940721
   0.00000    -15.907113    -15.910517
 
 
# Band-Index    5
   0.00000    -15.904245    -15.906660
   0.01136    -15.933736    -15.936937
   0.02272    -15.937997    -15.968597
   0.03408    -15.937250    -15.997547
   0.04544    -15.936062    -15.998908
   0.05681    -15.934507    -15.997525
   0.06817    -15.932600    -15.995723
